1000
2000
266,397
397,266
397,87
87,397
87,492
492,87
492,567
567,492
567,440
440,567
440,553
553,440
553,866
866,553
866,465
465,866
465,752
752,465
752,149
149,752
149,960
960,149
960,868
868,960
868,436
436,868
436,326
326,436
326,42
42,326
42,508
508,42
508,787
787,508
787,218
218,787
218,907
907,218
907,539
539,907
539,153
153,539
153,656
656,153
656,905
905,656
905,904
904,905
904,441
441,904
441,173
173,441
173,388
388,173
388,387
387,388
387,966
966,387
966,541
541,966
541,392
392,541
392,453
453,392
453,104
104,453
104,511
511,104
511,873
873,511
873,350
350,873
350,186
186,350
186,815
815,186
815,495
495,815
495,711
711,495
711,747
747,711
747,188
188,747
188,81
81,188
81,999
999,81
999,99
99,999
99,406
406,99
406,315
315,406
315,242
242,315
242,761
761,242
761,850
850,761
850,968
968,850
968,232
232,968
232,867
867,232
867,953
953,867
953,494
494,953
494,205
205,494
205,818
818,205
818,679
679,818
679,162
162,679
162,573
573,162
573,662
662,573
662,405
405,662
405,118
118,405
118,52
52,118
52,256
256,52
256,596
596,256
596,212
212,596
212,691
691,212
691,760
760,691
760,380
380,760
380,608
608,380
608,245
245,608
245,926
926,245
926,41
41,926
41,309
309,41
309,718
718,309
718,204
204,718
204,278
278,204
278,699
699,278
699,193
193,699
193,987
987,193
987,714
714,987
714,655
655,714
655,507
507,655
507,427
427,507
427,282
282,427
282,57
57,282
57,556
556,57
556,349
349,556
349,923
923,349
923,59
59,923
59,550
550,59
550,822
822,550
822,794
794,822
794,932
932,794
932,732
732,932
732,316
316,732
316,681
681,316
681,469
469,681
469,100
100,469
100,645
645,100
645,425
425,645
425,261
261,425
261,254
254,261
254,329
329,254
329,829
829,329
829,716
716,829
716,317
317,716
317,566
566,317
566,424
424,566
424,780
780,424
780,957
957,780
957,983
983,957
983,133
133,983
133,158
158,133
158,939
939,158
939,89
89,939
89,466
466,89
466,341
341,466
341,136
136,341
136,632
632,136
632,970
970,632
970,540
540,970
540,124
124,540
124,487
487,124
487,408
408,487
408,3
3,408
3,800
800,3
800,429
429,800
429,908
908,429
908,823
823,908
823,196
196,823
196,736
736,196
736,318
318,736
318,160
160,318
160,262
262,160
262,769
769,262
769,992
992,769
992,737
737,992
737,808
808,737
808,786
786,808
786,754
754,786
754,33
33,754
33,881
881,33
881,90
90,881
90,327
327,90
327,250
250,327
250,843
843,250
843,430
430,843
430,914
914,430
914,497
497,914
497,166
166,497
166,944
944,166
944,538
538,944
538,154
154,538
154,129
129,154
129,334
334,129
334,384
384,334
384,707
707,384
707,253
253,707
253,626
626,253
626,63
63,626
63,112
112,63
112,450
450,112
450,546
546,450
546,856
856,546
856,485
485,856
485,371
371,485
371,407
407,371
407,416
416,407
416,634
634,416
634,615
615,634
615,853
853,615
853,636
636,853
636,521
521,636
521,586
586,521
586,421
421,586
421,66
66,421
66,773
773,66
773,817
817,773
817,775
775,817
775,590
590,775
590,410
410,590
410,105
105,410
105,71
71,105
71,528
528,71
528,308
308,528
308,852
852,308
852,84
84,852
84,793
793,84
793,56
56,793
56,986
986,56
986,584
584,986
584,875
875,584
875,127
127,875
127,664
664,127
664,355
355,664
355,660
660,355
660,269
269,660
269,486
486,269
486,386
386,486
386,591
591,386
591,307
307,591
307,902
902,307
902,569
569,902
569,305
305,569
305,197
197,305
197,931
931,197
931,703
703,931
703,9
9,703
9,757
757,9
757,964
964,757
964,457
457,964
457,697
697,457
697,165
165,697
165,742
742,165
742,976
976,742
976,14
14,976
14,396
396,14
396,512
512,396
512,657
657,512
657,767
767,657
767,710
710,767
710,102
102,710
102,720
720,102
720,455
455,720
455,13
13,455
13,985
985,13
985,642
642,985
642,886
886,642
886,532
532,886
532,103
103,532
103,897
897,103
897,740
740,897
740,594
594,740
594,997
997,594
997,989
989,997
989,758
758,989
758,807
807,758
807,140
140,807
140,702
702,140
702,677
677,702
677,72
72,677
72,672
672,72
672,806
806,672
806,842
842,806
842,217
217,842
217,784
784,217
784,979
979,784
979,994
994,979
994,580
580,994
580,43
43,580
43,51
51,43
51,719
719,51
719,417
417,719
417,814
814,417
814,603
603,814
603,75
75,603
75,131
131,75
131,369
369,131
369,299
299,369
299,860
860,299
860,911
911,860
911,468
468,911
468,514
514,468
514,338
338,514
338,614
614,338
614,333
333,614
333,838
838,333
838,883
883,838
883,766
766,883
766,431
431,766
431,138
138,431
138,915
915,138
915,391
391,915
391,324
324,391
324,400
400,324
400,811
811,400
811,479
479,811
479,604
604,479
604,551
551,604
551,116
116,551
116,583
583,116
583,64
64,583
64,312
312,64
312,92
92,312
92,374
374,92
374,686
686,374
686,403
403,686
403,28
28,403
28,459
459,28
459,159
159,459
159,200
200,159
200,705
705,200
705,969
969,705
969,46
46,969
46,947
947,46
947,401
401,947
401,706
706,401
706,948
948,706
948,426
426,948
426,936
936,426
936,685
685,936
685,633
633,685
633,618
618,633
618,152
152,618
152,929
929,152
929,562
562,929
562,721
721,562
721,768
768,721
768,298
298,768
298,942
942,298
942,654
654,942
654,185
185,654
185,409
409,185
409,878
878,409
878,45
45,878
45,536
536,45
536,837
837,536
837,669
669,837
669,227
227,669
227,296
296,227
296,652
652,296
652,621
621,652
621,522
522,621
522,11
11,522
11,593
593,11
593,225
225,593
225,76
76,225
76,114
114,76
114,791
791,114
791,259
259,791
259,802
802,259
802,70
70,802
70,182
182,70
182,237
237,182
237,519
519,237
519,696
696,519
696,851
851,696
851,649
649,851
649,790
790,649
790,2
2,790
2,414
414,2
414,175
175,414
175,223
223,175
223,635
635,223
635,638
638,635
638,475
475,638
475,249
249,475
249,831
831,249
831,625
625,831
625,335
335,625
335,921
921,335
921,698
698,921
698,735
735,698
735,610
610,735
610,682
682,610
682,996
996,682
996,238
238,996
238,389
389,238
389,847
847,389
847,222
222,847
222,413
413,222
413,446
446,413
446,229
229,446
229,824
824,229
824,617
617,824
617,452
452,617
452,8
8,452
8,211
211,8
211,601
601,211
601,35
35,601
35,812
812,35
812,788
788,812
788,548
548,788
548,385
385,548
385,958
958,385
958,892
892,958
892,80
80,892
80,345
345,80
345,488
488,345
488,287
